,hadron,Q2,x,z,phT,1D_dependence
0,pi+,2.7325,0.036,0.367375,0.37725,x
1,pi+,2.7325,0.0382020202020202,0.367375,0.37725,x
2,pi+,2.7325,0.0404040404040404,0.367375,0.37725,x
3,pi+,2.7325,0.042606060606060606,0.367375,0.37725,x
4,pi+,2.7325,0.044808080808080804,0.367375,0.37725,x
5,pi+,2.7325,0.04701010101010101,0.367375,0.37725,x
6,pi+,2.7325,0.04921212121212121,0.367375,0.37725,x
7,pi+,2.7325,0.05141414141414141,0.367375,0.37725,x
8,pi+,2.7325,0.05361616161616162,0.367375,0.37725,x
9,pi+,2.7325,0.055818181818181815,0.367375,0.37725,x
10,pi+,2.7325,0.058020202020202014,0.367375,0.37725,x
11,pi+,2.7325,0.06022222222222222,0.367375,0.37725,x
12,pi+,2.7325,0.062424242424242424,0.367375,0.37725,x
13,pi+,2.7325,0.06462626262626263,0.367375,0.37725,x
14,pi+,2.7325,0.06682828282828282,0.367375,0.37725,x
15,pi+,2.7325,0.06903030303030303,0.367375,0.37725,x
16,pi+,2.7325,0.07123232323232323,0.367375,0.37725,x
17,pi+,2.7325,0.07343434343434344,0.367375,0.37725,x
18,pi+,2.7325,0.07563636363636364,0.367375,0.37725,x
19,pi+,2.7325,0.07783838383838385,0.367375,0.37725,x
20,pi+,2.7325,0.08004040404040404,0.367375,0.37725,x
21,pi+,2.7325,0.08224242424242424,0.367375,0.37725,x
22,pi+,2.7325,0.08444444444444443,0.367375,0.37725,x
23,pi+,2.7325,0.08664646464646464,0.367375,0.37725,x
24,pi+,2.7325,0.08884848484848484,0.367375,0.37725,x
25,pi+,2.7325,0.09105050505050505,0.367375,0.37725,x
26,pi+,2.7325,0.09325252525252525,0.367375,0.37725,x
27,pi+,2.7325,0.09545454545454546,0.367375,0.37725,x
28,pi+,2.7325,0.09765656565656566,0.367375,0.37725,x
29,pi+,2.7325,0.09985858585858587,0.367375,0.37725,x
30,pi+,2.7325,0.10206060606060605,0.367375,0.37725,x
31,pi+,2.7325,0.10426262626262625,0.367375,0.37725,x
32,pi+,2.7325,0.10646464646464646,0.367375,0.37725,x
33,pi+,2.7325,0.10866666666666666,0.367375,0.37725,x
34,pi+,2.7325,0.11086868686868687,0.367375,0.37725,x
35,pi+,2.7325,0.11307070707070707,0.367375,0.37725,x
36,pi+,2.7325,0.11527272727272728,0.367375,0.37725,x
37,pi+,2.7325,0.11747474747474748,0.367375,0.37725,x
38,pi+,2.7325,0.11967676767676769,0.367375,0.37725,x
39,pi+,2.7325,0.12187878787878786,0.367375,0.37725,x
40,pi+,2.7325,0.12408080808080807,0.367375,0.37725,x
41,pi+,2.7325,0.12628282828282827,0.367375,0.37725,x
42,pi+,2.7325,0.12848484848484848,0.367375,0.37725,x
43,pi+,2.7325,0.13068686868686868,0.367375,0.37725,x
44,pi+,2.7325,0.1328888888888889,0.367375,0.37725,x
45,pi+,2.7325,0.1350909090909091,0.367375,0.37725,x
46,pi+,2.7325,0.1372929292929293,0.367375,0.37725,x
47,pi+,2.7325,0.1394949494949495,0.367375,0.37725,x
48,pi+,2.7325,0.1416969696969697,0.367375,0.37725,x
49,pi+,2.7325,0.1438989898989899,0.367375,0.37725,x
50,pi+,2.7325,0.1461010101010101,0.367375,0.37725,x
51,pi+,2.7325,0.1483030303030303,0.367375,0.37725,x
52,pi+,2.7325,0.1505050505050505,0.367375,0.37725,x
53,pi+,2.7325,0.1527070707070707,0.367375,0.37725,x
54,pi+,2.7325,0.1549090909090909,0.367375,0.37725,x
55,pi+,2.7325,0.15711111111111112,0.367375,0.37725,x
56,pi+,2.7325,0.15931313131313132,0.367375,0.37725,x
57,pi+,2.7325,0.16151515151515153,0.367375,0.37725,x
58,pi+,2.7325,0.16371717171717173,0.367375,0.37725,x
